,Spanish text, Expected text,Predicted text
0,ve,go,you                                              
19,salte,jump,lets take                                             
26,continúe,go on,can you me                                            
27,hola,hello,speak take fatter                                            
33,corría,i ran,he closely                                             
51,ve ahora mismo,go now,were it right now                                           
76,renuncié,i quit,ate abandoned                                             
79,lloraba,i wept,he come                                             
95,¡ni en pedo,no way,he fell in  account                                          
122,llámame,call me,come me in                                            
143,¡órale,go away,wow                                              
146,¡lárgate,go away,lets take                                             
202,soy viejo,im old,old                                              
222,empújenla,push it,lets get                                             
239,tom ganó,tom won,tom                                              
252,¿quién corría,who ran,who listened                                             
261,preguntales,ask them,get prepared                                             
263,aparta,back off,get up                                             
269,sean breves,be brief,take to                                             
272,¡llamalo a tomás,call tom,call tom                                             
282,encuéntralo a tomás,find tom,call tom                                             
283,encuéntrelo a tomás,find tom,call tom                                             
289,¡lárgate,get away,lets take                                             
310,entrad,go on in,lets yourself                                             
316,pásala bien,have fun,enjoy yourself                                             
320,él prueba,he tries,study him                                             
322,hola ¿qué hay,hi guys,take up                                             
336,convine,i agreed,take get out                                            
346,lo hice,i did it,i did                                             
351,lo tengo,i got it,got it                                             
365,charlaba,i talked,get it                                             
371,soy calvo,im bald,fat                                              
373,estoy calmado,im calm,worn                                              
374,estoy tranquilo,im cool,worn                                              
380,yo soy libre,im free,i am                                             
387,llego tarde,im late,i do later                                            
388,soy vago,im lazy,a evil                                             
407,es tom,its tom,tom                                              
408,es divertido,its fun,its amusing                                             
430,salva a tom,save tom,take tom                                             
436,sentate,sit down,lets him                                             
437,siéntate aquí,sit here,come out here                                            
473,probá esto,try this,taste this                                             
493,¿quién murió,who died,who won                                             
526,tomátelo con soda,calm down,relax                                              
542,vente,come over,come along                                             
571,síguenos,follow us,take us                                             
603,¿cómo está tom,hows tom,how is tom                                            
646,lo añoro,i miss it,it catch it                                            
649,le vi,i saw him,i love him                                            
672,estoy sola,im alone,alone                                              
698,estoy listo,im ready,i am ready                                            
708,¿está bien tom,is tom ok,is tom all                                            
733,está bien,its good,its okay                                             
741,hace buen tiempo,its nice,its time a time                                           
772,déjalo a tomás,leave tom,give to                                             
792,mire para otro lado,look away,were on yourself                                            
810,¡por supuesto,of course,lower his voice                                            
827,a mí que me registren,search me,no give that to  me                                         
830,¡a por él,seize him,he away it from him                                          
832,¡arrestadlo,seize him,get yourself                                             
845,está que cruje,shes hot,its is to                                            
846,firme aquí,sign here,come here                                             
856,quieto,slow down,be down                                             
867,detente aquí,stop here,come here                                             
880,toma el mío,take mine,to happened                                             
893,ese soy yo,thats me,that to me                                            
907,tom dormitó,tom dozed,tom clapped                                             
910,tom está dentro,tom is in,tom is                                             
921,tomás lo intenta,tom tries,tom will it                                            
924,tom saludó,tom waved,tom grunted                                             
935,pruébatelo,try it on,ill will it this                                           
959,¿a quién le importa,who cares,who does you                                            
966,¿quién irá,wholl go,who will you                                            
979,¿me equivoco,am i wrong,do you win me                                           
992,pregúntele a cualquiera,ask anyone,id will distract                                            
1004,los pájaros están cantando,birds sing,the are                                             
1005,traed comida,bring food,take us from                                            
1035,venid a nosotros,come to us,come with us                                            
1041,métete dentro,do come in,come on                                             
1043,no vengas,dont come,come us                                             
1053,¡no hables,dont talk,get                                              
1087,váyase a casa,go on home,come home                                             
1092,tened fe,have faith,lets us get                                            
1099,se rindió,he gave up,he gave in                                            
1103,descolgó,he hung up,get on                                             
1113,lo hizo él,he made it,he did it for                                           
1114,lo logró,he made it,it turned                                             
1138,¡qué trágico,how tragic,what a hassle                                            
1142,corre vete a casa,hurry home,were away home                                            
1146,¡soy feliz,i am happy,were you happy                                            
1155,puedo cantar,i can sing,i can                                             
1160,como aquí,i eat here,they work here                                            
1172,me puse malo,i got sick,i depends to decisions                                           
1175,imagino que sí,i guess so,i just yes                                            
1194,yo a ustedes les conozco,i know you,i know you                                            
1201,me gustó,i liked it,i like it                                            
1214,lo extraño,i miss him,it find it                                            
1224,yo me acuerdo,i remember,i remember                                             
1230,me senté,i sat down,i get upstairs                                            
1234,veía eso,i saw that,that saw it                                            
1240,sobreviví,i survived,get yourself                                             
1243,vomité,i threw up,lets it                                             
1254,era el último,i was last,the was the last                                           
1268,soy un mentiroso,im a liar,a liar                                             
1271,estoy agotado,im bushed,worn                                              
1285,soy normal,im normal,an                                              
1288,estoy soltera,im single,crying                                              
1299,tengo doce,im twelve,got out                                             
1305,¿tom es divertido,is tom fun,is tom looking                                            
1310,¿está muerto,is he dead,is it dead                                            
1329,eso pasa,it happens,doing concerns                                             
1333,está vivo,its alive,this is                                             
1347,es correcto,its right,its                                              
1352,es tuyo,its yours,its your                                             
1379,¡dejadme salir,let me out,let me out                                            
1387,besémonos,lets kiss,lets get out                                            
1418,mamá lloró,mama cried,he gave it                                            
1456,no te duermas,stay awake,stop get                                             
1467,dejá de bolacear,stop lying,stop corner up                                            
1470,estudiá más,study more,one more                                             
1498,hicieron trampas,they cheat,over                                              
1506,ellos se apuntan,theyre in,they cried out                                            
1546,tom es grande,tom is big,tom is beautiful                                            
1547,tom está gordo,tom is fat,fat                                              
1548,tom es divertido,tom is fun,tom is amusing                                            
1553,tom es viejo,tom is old,tom                                              
1561,tom asintió,tom nodded,tom abandoned                                             
1566,tom rezó,tom prayed,tom accelerated                                             
1586,tom gritó,tom yelled,tom cried                                             
1590,tom está ocupado,toms busy,tom is brilliant                                            
1594,tom es rápido,toms fast,tom is boring                                            
1598,tom está aquí,toms here,tom is here                                            
1613,gira a la derecha,turn right,the between the                                            
1616,¿era divertido,was it fun,be being                                             
1624,nosotros podemos pagar,we can pay,we can see                                            
1633,nos encanta,we love it,we love it                                            
1681,¿quién es,whos that,who                                              
1693,pueden irse,you may go,you can make                                            
1768,¡hacedlo de nuevo,do it again,were again                                             
1770,hazlo ahorita,do it later,do it right                                            
1782,no entre usted,dont go in,come                                              
1784,¡no te vayas,dont leave,go                                              
1788,no grites,dont shout,not come                                             
1799,termina esto,finish this,watch                                              
1826,¡vete a dormir,go to sleep,try to  sleep                                           
1828,toma un asiento,grab a seat,try a your                                            
1845,él está feliz,he is happy,he is                                             
1858,él estaba ocupado,he was busy,he was busy                                            
1862,no está aquí,hes not in,he here                                             
1881,¡qué raro,how strange,how weird                                             
1892,yo culpo a tom,i blame tom,i take tom                                            
1893,lo he comprado,i bought it,eaten practicing                                             
1898,puedo hacerlo,i can do it,i can do that                                           
1901,no lo puedo decir,i cant say,i give see                                            
1904,lloro mucho,i cry a lot,it eats a lot                                           
1920,encontré un trabajo,i got a job,i found a job                                           
1924,odio los gatos,i hate cats,i hate soccer                                            
1961,amaba a tom,i liked tom,i heard tom                                            
1968,me encantan los niños,i love kids,i love the dogs                                           
1972,amo las matemáticas,i love math,i love                                             
1983,yo os quería,i loved you,i just you want                                           
1984,yo te amaba,i loved you,i told you                                            
1993,necesito dinero en metálico,i need cash,i need to  my intentions                                         
1998,necesito la mía,i need mine,i need your guests                                           
2000,necesito esto,i need this,i need this                                            
2004,yo nunca gano,i never win,i lost cigarettes                                            
2011,dije que te detuvieras,i said stop,i said you to accept                                          
2016,yo vi un perro,i saw a dog,i saw a phone                                           
2017,vendo autos,i sell cars,i wear upstairs                                            
2021,me huele a gas,i smell gas,it blacked sweating                                            
2024,yo confío en él,i trust him,i him in                                            
2071,estoy bailando,im dancing,pretended                                              
2074,estoy emocionada,im excited,lying                                              
2111,yo soy demasiado gordo,im too fat,an am getting                                            
2113,tengo mala suerte,im unlucky,very totally                                             
2123,¿tom está en casa,is tom home,is tom at boston                                           
2143,¿es usted,is that you,are you busy                                            
2144,¿esto es nuevo,is this new,is this new                                            
2148,eso sucedió,it happened,that happened                                             
2150,está ahí,it is there,its there                                             
2152,puede que nieve,it may snow,you will come                                            
2158,estuvo padre,it was cool,it was pen                                            
2184,es mi trabajo,its my job,its is my job                                           
2192,déjame ayudarte,let me help,let me help you                                           
2193,déjame ayudar,let me help,let me find you                                           
2203,apurémonos,lets hurry,go                                              
2255,por favor quédese,please stay,please wait down                                            
2266,mándalo dentro,send him in,come on by                                            
2272,mándenlo adentro,send him in,come on in                                            
2287,háblame,speak to me,get on                                             
2289,¡dejad sitio,stand aside,lets stay back                                            
2291,empieza otra vez,start again,start again                                             
2296,¡quieto ahí,stop moving,were for there                                            
2297,¡quédate quieto,stop moving,be quiet                                             
2307,actúa,take action,could you it                                            
2318,está bien,thats fine,its okay                                             
2327,ésa es mía,thats mine,its                                              
2352,puede que vayan,they may go,he may be                                            
2375,eso es malo,this is bad,pretty                                              
2395,tom decidió,tom decided,tom has him                                            
2429,tom pagó por adelantado,tom prepaid,tom paid some                                            
2434,tom se relajaba,tom relaxed,tom cried out                                            
2449,tom está aburrido,toms bored,tom is boring                                            
2459,tom está disgustado,toms upset,tom is independent                                            
2464,esperame,wait for me,take in                                             
2508,te necesitamos,we need you,we need this                                            
2518,lo haremos,well do it,ill call it                                            
2521,nosotros compartiremos,well share,they over                                             
2528,estamos limpios,were clean,were so                                             
2530,vamos a ir,were going,were go going                                            
2533,estamos listos,were ready,were                                              
2541,¡qué burro,what a dope,what a tragedy                                            
2544,¡qué imbécil,what a jerk,what a hassle                                            
2545,¡qué pérdida,what a loss,what a collection                                            
2577,¿quién va a cocinar,wholl cook,to show to cook                                           
2596,estás loca,you are mad,doing                                              
2606,tú me conoces,you know me,you know him                                            
2625,tú estás bien,youre fine,doing                                              
2630,sois buenos,youre good,were                                              
2645,¡estás enfermo,youre sick,nuts                                              
2649,estás débil,youre weak,you                                              
2653,todo está en silencio,all is quiet,all is drinking                                            
2659,¿estamos arruinados,are we broke,is it                                             
2671,¿estás aquí,are you here,are you here                                            
2698,confía en ti mismo,be confident,ill fun yourself                                            
2713,¿puedo intentar,can i try it,can i go you                                           
2724,¡míralo,check it out,lets lived                                             
2728,ven cuando quieras,come anytime,come whenever you want                                           
2756,descríbelo a tomás,describe tom,take tom                                             
2762,¿llamaste,did you call,thank you get                                            
2764,¿ayudasteis,did you help,get him                                             
2770,¿ustedes ayudaban,did you help,do you study back                                           
2776,hazlo el lunes,do it monday,put it in monday                                           
2777,hágalo por mí,do it for me,take for  me                                           
2781,¿bebes,do you drink,do you dream                                            
2782,¿bebéis,do you drink,take go                                             
2793,no sea tímido,dont be shy,its a                                             
2809,no temas a nada,fear nothing,they see anything mad                                           
2841,ten un trago,have a drink,got a                                             
2864,está comiendo,he is eating,its is                                             
2879,corre rápido,he runs fast,speaks                                              
2892,él es celoso,hes jealous,he is a                                            
2918,¿qué tal la escuela,hows school,how school the                                            
2930,me disculpé,i apologized,i cried                                             
2947,me corto,i cut myself,i elected                                             
2954,no mentí,i didnt lie,not come                                             
2969,yo como queso,i eat cheese,i have this                                            
2976,me sentía solo,i felt alone,i felt alone                                            
2980,las encontré,i found them,i found it                                            
2989,detesto las habas,i hate beans,i hate dubbed the                                           
3008,la abracé,i hugged her,the is                                             
3017,me gusta la ópera,i like opera,i like love                                            
3056,hoy nadé,i swam today,now be come                                            
3060,quiero un perro,i want a dog,i want a car                                           
3065,he avisado a tom,i warned tom,saying tom                                             
3084,voy a comprar uno,ill buy one,i drive buy one                                           
3086,lo voy a leer,ill read it,going to                                             
3105,soy anoréxico,im anorexic,an                                              
3113,estoy dubitativo,im doubtful,getting                                              
3117,ahora estoy libre,im free now,now am for                                            
3175,estoy entusiasmado,im thrilled,drunk                                              
3224,comenzó,it has begun,it started out                                            
3254,es nuestro trabajo,its our job,its our                                             
3260,hace demasiado calor,its too hot,this too                                             
3262,está demasiado caliente,its too hot,its my hot                                            
3282,sigan corriendo,keep running,keep won                                             
3285,siga cantando,keep singing,keep singing                                             
3299,seguí escribiendo,keep writing,breathe practicing                                             
3302,déjalo ir,let go of it,let him                                             
3316,la vida continúa,life goes on,its is just at                                           
3323,mira esto,look at this,watch this                                             
3351,no se movió nadie,no one moved,nobody there fun anyone                                           
3354,nadie sabe,nobody knows,anybody knows                                             
3358,ahora vámonos,now lets go,lets go now                                            
3374,señalalo,point it out,get him                                             
3378,ponlo allí,put it there,show it there                                            
3381,terminó el descanso,recess ended,the fixed the monday                                           
3392,¡avergüénzate,shame on you,get yourself                                             
3420,quédense en casa,stay at home,do at  home                                           
3432,deja de empujar,stop pushing,lets in                                             
3451,descanse,take a break,lets him                                             
3463,dime más,tell me more,try us                                             
3469,cuéntanos más,tell us more,lets stay more                                            
3495,eso es de tomás,thats toms,hand                                              
3501,eso es,thats right,want                                              
3507,aprueban,they approve,i approve                                             
3511,llegaron,they came in,i want                                             
3518,se escaparon,they escaped,he escaped                                             
3526,me conocían,they knew me,i sat back                                            
3531,lo adoran,they love it,i like it                                            
3565,aquí están,theyre here,here are                                             
3573,son bonitos,theyre nice,clever                                              
3584,esto es sencillo,this is easy,this is obscene                                            
3604,esto funcionará,thisll work,this is                                             
3607,tom comió pastel,tom ate cake,tom dropped out                                            
3634,tom es cruel,tom is cruel,tom is                                             
3669,tom entró en pánico,tom panicked,tom has in up                                           
3673,tom cedió,tom relented,tom gave in                                            
3681,tom se encogió de hombros,tom shrugged,tom clenched his cell                                           
3694,tom va a hablar,tomll speak,tom will to                                            
3699,tom está drogado,toms stoned,tom is currently                                            
3703,confiá en dios,trust in god,god in                                             
3727,estábamos listos,we got ready,we were                                             
3729,tenemos algo,we have some,we need something                                            
3731,tenemos unos cuantos,we have some,we have a advantage                                           
3736,lo conocíamos,we knew that,it figure it                                            
3744,vivimos aquí,we live here,here work here                                            
3802,¡qué lástima,what a shame,what a pity                                            
3804,¡qué susto,what a shock,what a hassle                                            
3822,¿quién te pagó,who paid you,who should you                                            
3863,no podés ir,you cant go,you go                                             
3874,usted la conoce,you know her,you know her                                            
3884,puedes nadar,you may swim,you can swim                                            
3904,sobrevivió,you survived,you set                                             
3905,vos sobreviviste,you survived,you                                              
3908,vosotros sobrevivisteis,you survived,you  first                                            
3912,estarás bien,youll be ok,you are like to good too                                         
3921,está despedido,youre fired,tom is                                             
3926,están despedidos,youre fired,old                                              
3931,tú vas primero,youre first,you will first                                            
3934,eres estupendo,youre great,nice                                              
3950,sos listo,youre smart,you                                              
3980,¿eres «poli»,are you a cop,are you taking believer                                           
3998,¿estás contento,are you happy,are you happy                                            
3999,¿eres feliz,are you happy,are you happy                                            
4013,sé respetuoso,be respectful,i discreet                                             
4022,rompedlo,break it down,get on                                             
4117,no seas grosero,dont be rude,it be a                                            
4138,no me prestes atención,dont mind me,pay to                                             
4142,no lo empujes,dont push it,push me                                             
4145,no me apresures,dont rush me,i shut me                                            
4147,¡no me digas,dont tell me,you say                                             
4159,todos ganan,everyone wins,everyone all                                             
4179,dénmelo,give it to me,lets yourself                                             
4180,dame un día,give me a day,give me a other                                           
4194,agárrate fuerte,hang on tight,could you paper                                            
4205,él come mucho,he eats a lot,he loves me lot                                           
4212,tiene un libro,he has a book,he is a book                                           
4224,está andando en patineta,he is skating,this is in  mess                                          
4238,él se ve enfermo,he seems sick,he looks sick                                            
4259,no está en casa,hes not home,not in                                             
4260,no está enfermo,hes not sick,its smoke                                             
4289,¿qué tal tú,how about you,how were you                                            
4295,¿cómo está usted,how do you do,how do you                                            
4303,¿cómo está el perro,hows the dog,how is the dog                                           
4310,casi morí,i almost died,almost  to                                            
4318,estoy confundido,i am confused,happy am                                             
4327,no soy sordo,i am not deaf,not photogenic                                             
4335,es culpa mía,i am to blame,its is my fault                                           
