,German text, Expected text,Predicted text
20,iss auf,eat up,be up                                    
51,das kommt nicht in frage,no way,that  my                                   
55,wirklich,really,really                                     
69,sei fair,be fair,be up                                    
111,troll dich,go away,keep you                                    
114,mach ’ne fliege,go away,go away                                    
137,gehen sie weg,go away,get you lost                                   
141,leb wohl,goodbye,do you know love                                  
148,hilf uns,help us,keep us                                    
156,umarme tom,hug tom,tom                                     
211,wach auf,wake up,wake up                                    
212,wachen sie auf,wake up,keep yourself                                    
249,repariere das,fix this,be that                                    
296,greif ihn dir,grab him,ever him you him                                  
303,helft tom,help tom,give you see him                                  
310,tun sie mir den gefallen,humor me,could i take the way                                 
380,es ist heiß,its hot,its is                                    
407,retten sie tom,save tom,give tom do tom                                  
413,setz dich,sit down,sit down                                    
442,tom ging,tom left,tom was singing                                   
455,vertraut mir,trust me,give to me                                   
457,versuch es richtig,try hard,try it                                    
465,schau uns zu,watch us,come us                                    
477,wer bin ich,who am i,who will i                                   
479,wer kam,who came,who came                                    
497,antworten sie mir,answer me,give me                                    
503,beruhige dich,calm down,cool down                                    
512,entspann dich,chill out,get yourself you                                   
518,komm hierher,come over,come here                                    
531,weint nicht,dont cry,not is                                    
549,hols dir,go get it,fight you                                    
568,hier bin ich,here i am,here                                     
569,hier sind fünf dollar,heres 5,there moved half minutes                                  
580,ich habe mich verirrt,i am lost,i                                     
584,mir geht es gut,i am well,fine                                     
598,ich verstehe was du meinst,i get you,i do what  can understand                                
620,ich meine es so,i mean it,i get like it                                  
622,ich meine es ernst,i mean it,i bluffing mean                                   
651,ich werde kommen,ill come,ill come                                    
693,es tut mir leid,im sorry,my am sorry for                                  
726,es ist dunkel,its dark,its obvious dark                                   
729,es ist gerecht,its fair,its improbable                                    
741,es ist sand,its sand,its                                     
749,bleiben sie zurück,keep back,come back quiet                                   
775,lass es uns probieren,lets try,lets do it a                                  
796,setz ihn auf,put it on,sit up seat                                   
802,lies das hier,read this,does this here                                   
807,fassen sie ihn,seize him,brother of                                    
837,bleib unten,stay down,be cool the                                   
838,bleib unten,stay down,be cool the                                   
857,nehmt meins,take mine,take mine                                    
941,wen kümmert’s,who cares,what do                                    
955,du fährst,you drive,you  be                                   
965,zielen sie höher,aim higher,aim mary                                    
968,sterbe ich,am i dying,meet i threw                                   
1001,kann ich helfen,can i help,can i help you                                  
1019,kommen sie frühzeitig,come early,come you come along                                  
1027,mach es kaputt,destroy it,do it alone                                   
1048,sag nichts,dont talk,say a                                    
1092,er ist beschäftigt,he is busy,he is                                    
1093,er ist hier,he is here,he is kind                                   
1099,er ist krank,he is sick,he just a                                   
1100,er ist groß,he is tall,a tough                                    
1104,er ist grausam,hes cruel,he is drugs                                   
1141,ich habe es gebaut,i built it,i built it                                   
1147,ich kann singen,i can sing,i hurt                                    
1152,ich habe abgesagt,i canceled,i have a phone                                  
1187,ich habe es vernommen,i heard it,i picked it                                   
1197,ich mag kunst,i like art,i like anyone                                   
1213,ich liebte es,i loved it,i drank it                                   
1257,ich will eine,i want one,i want one                                   
1283,ich bin besser,im better,i am                                    
1289,ich esse gerade,im eating,i am exam                                   
1309,ich bewege mich,im moving,i feel to                                   
1344,das ist wichtig,it matters,its is important                                   
1353,es ist sperrig,its bulky,its is ugly inefficient                                  
1358,es ist klar,its clear,it is prophecy                                   
1387,lassen sie tom los,let tom go,let tom                                    
1393,lass mich sterben,let me die,let me                                    
1408,lasst uns abstimmen,lets vote,lets us a                                   
1423,mama weinte,mama cried, was cry                                   
1427,echt,no kidding,seriously                                     
1512,sie schliefen,they slept,they                                     
1531,tom betrügt,tom cheats,tom is cheating                                   
1534,tom tanzte,tom danced,tom was                                    
1560,tom ist neu,tom is new,tom is his high                                  
1569,tom schaute,tom looked,tom lost                                    
1575,tom hat sich gefügt,tom obeyed,tom has proven himself                                  
1580,tom hat telefoniert,tom phoned,tom has three for                                  
1581,tom betete,tom prayed,tom is fighting                                   
1582,tom hat gebetet,tom prayed,tom is right                                   
1610,tom wird sterben,tomll die,tom will die                                   
1654,wir alle sterben,we all die,were all                                    
1665,wir haben es verloren,we lost it,lost                                     
1666,wir haben ihn verloren,we lost it,we lost                                    
1681,wir werden arbeiten,well work,well be here                                   
1708,wer hat es,who has it,who did it                                   
