,French text, Expected text,Predicted text
1,salut ,hi,stop the                                             
7,au feu ,fire,i  turned the                                           
19,salut ,hello,stop the                                             
25,oh non ,oh no,oh to up                                            
60,sans façons ,no way,i was it                                            
74,nous lemportâmes,we won,it we                                             
83,soyez justes ,be fair,be prepared                                             
92,soyez gentils ,be nice,be                                              
101,entre ,come in,get inside                                             
109,laissele tomber ,drop it,its left                                             
135,attends un peu ,hang on,wait a bit                                            
157,je pue,i stink,eating forget                                             
167,je suis tom,im tom,how tom                                             
172,je suis touchée ,im hit,a dancer                                             
204,prendsle ,take it,do you                                             
305,jai compris,i get it,i understood                                             
344,je suis juste,im fair,right ready                                             
348,tout va bien,im fine,are you                                             
355,je suis rassasié ,im full,a dancer                                             
367,je suis riche,im rich,so agree                                             
380,je suis faible,im weak,a                                              
382,je me porte bien,im well,i like  of                                           
394,cest nouveau,its new,is                                              
412,épousezmoi ,marry me,do you                                             
421,assiedstoi ,sit down,do you                                             
424,assiedstoi ici,sit here,lets live  matter                                           
446,tom savait,tom knew,tom  looking swimming                                           
486,vous avez perdu,you lost,you look                                             
488,en joue  feu ,aim fire,lets you play fire                                           
493,les oiseaux volent,birds fly,the like is learning                                           
507,viens ici,come here,come ahead me                                            
539,fantastique ,fantastic,do you                                             
544,suismoi,follow me,do you                                             
548,oubliele ,forget it,do you                                             
560,va le chercher ,go get it,is it going                                            
599,je suis certain,i am sure,so am                                             
604,je sais courir,i can run,i know where to                                           
607,jai eu un mouvement de recul,i cringed,i had a heated of                                          
657,je te vis,i saw you,i saw you                                            
680,jobéirai,ill obey,do you                                             
706,je suis réveillé,im awake,i recovered                                             
726,je me tire,im going,i protect you                                            
749,désolé,im sorry,sorry for                                             
761,je suis à toi,im yours,you for                                             
763,jai perdu,ive lost,are you out your it minds                                         
785,il est huit heures trente,its 830,he is almost with                                           
797,cest gratuit,its free,the bicycle is me                                           
836,laissezmoi rentrer,let me in,let you want to                                           
842,reste allongée immobile ,lie still,keep on carried on                                           
871,plaîtil ,pardon me,do you                                             
893,ralentissez ,slow down,do it fun                                            
934,il ny a pas de problème,thats ok,this a  problem                                           
957,tom sait,tom knows,tom  nothing                                            
979,fais attention ,watch out,make it                                             
997,nous essayerons,well try,we succeeded it                                            
998,nous tenterons,well try,we succeeded it                                            
1024,à la bonne heure ,wonderful,i the of only the hours                                         
1029,espèce dimbécile ,you idiot,this is infuriating                                            
1038,tout le monde à bord,all aboard,everyone was her about                                           
1074,soyez prudent ,be careful,be careful                                             
1078,fais gaffe ,be careful,you look it much                                           
1083,soyez prudents ,be careful,be prepared                                             
1096,soyez sérieuses ,be serious,be                                              
1100,santé ,bottoms up,its it                                             
1117,reviens nous voir,come again,be see us                                            
1130,jouis vite ,come quick,i you led the                                           
1184,abandonne ,give it up,do you                                             
1199,il est en retard,he is late,he is late here                                           
1203,il est malade,he is sick,it is                                             
1229,je suis prêt,i am ready,ready                                              
1337,je men rappelle,i remember,i remember                                             
1340,jai vu cela,i saw that,did you forget that                                           
1362,jai été bon,i was good,i was                                             
1368,jai été dernière,i was last,been was died year                                           
1371,jai été en retard,i was late,been was late                                            
1375,jétais malade,i was sick,are you sick                                            
1385,je vais le faire,ill do it,going to it                                            
1440,je suis remué,im shaken,a                                              
1453,je suis forte,im strong,a is                                             
1468,estil décédé ,is he dead,the red is                                            
1469,il est mort ,is he dead,he is dead                                            
1470,estil grand ,is he tall,is it being                                            
1486,estce le cas ,is that so,i travel the                                            
1542,reste tranquille ,keep still,stay quiet                                             
1561,laissezmoi payer,let me pay,can i pay                                            
1569,embrassonsnous,lets kiss,do you                                             
1575,regarde encore,look again,so it                                             
1584,maman a pleuré,mama cried,she cried with emotion                                           
1588,sans commentaire,no comment,i was                                             
1594,aucun problème,no problem,no walked to problem                                           
1610,taillezvous ,run for it,do you                                             
1619,elle est occupée,shes busy,she                                              
1637,reste malin ,stay sharp,be keep                                             
1683,le temps est écoulé,time is up,the post is going                                           
1685,tom est daccord,tom agrees,comes                                              
1687,tom jura,tom cursed,tom set teacher                                            
1689,tom conduit,tom drives,tom is me free                                           
1718,tom est heureux,toms glad,tom                                              
1741,nous mourons toutes,we all die,we all die                                            
1743,nous sommes des hommes,we are men,we out                                             
1760,nous vous avons vue,we saw you,we needs you                                            
1762,nous vous avons vus,we saw you,we made the                                            
1788,nous sommes là,were here,were                                              
1792,nous sommes fainéantes,were lazy,were ruined                                             
1795,nous sommes riches,were rich,were                                              
1814,qui ma vu ,who saw me,who you know me                                           
1823,vous décidez,you decide,you  like                                            
1844,tu es vieux,youre old,mean                                              
1892,soyez discrets ,be discreet,be prepared                                             
1904,soyez cléments ,be merciful,be prepared                                             
1917,soyez préparés ,be prepared,be prepared                                             
1975,estce que tom a mangé ,did tom eat,what you tom  mistaken                                          
2028,habilletoi,get dressed,do you                                             
2035,va chez toi maintenant,go home now,get you at home now                                          
2039,allez à la maison maintenant,go home now,try at  home                                           
2051,prends place,have a seat,take a seat                                            
2065,il a du vin,he has wine,he is team for wine                                          
2073,il maime bien,he likes me,he good person                                            
2075,il maime,he loves me,helping will                                             
2101,il nest pas à lintérieur,hes not in,he care to                                            
2121,comme cest curieux ,how curious,how thrilling it                                            
2140,je suis revenu,i came back,i was to                                            
2149,je narrive pas à voir,i cant see,i like to tomorrow                                           
2172,je me suis entraîné,i exercised,i recovered                                             
2174,je me sens déprimé,i feel blue,i feel honored                                            
2177,je me sens bien,i feel fine,i feel hot                                            
2203,on ma mis une contravention,i got fined,we brought for a                                           
2211,jai été contrarié,i got upset,i was                                             
